date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:07:58	17597/17597	---M-Z	200	added ('OK')	text/html	etag:%221b56b3a-44bd-5a7cb37f57c4e-gzip%22	https://atlancey.com/	C:/My%20Web%20Sites/atlancy/atlancey.com/index.html	(from )
00:07:58	31/31	---M--	200	added ('OK')	text/plain	etag:%221b502ae-1f-59d03df48bfd4%22	https://atlancey.com/robots.txt		(from )
00:07:59	3336/3336	---M--	200	added ('OK')	text/css	etag:%22204dfd6-d08-59dc78b610f80%22	https://atlancey.com/assets/css/fullpage.min.css	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/css/fullpage.min.css	(from https://atlancey.com/)
00:07:59	3931/3931	---M--	200	added ('OK')	text/css	etag:%22204dfd7-f5b-59dc78b610f80%22	https://atlancey.com/assets/css/reset.min.css	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/css/reset.min.css	(from https://atlancey.com/)
00:08:00	10305/10305	---M--	200	added ('OK')	text/css	etag:%22204dfd8-2841-5a177272d1780%22	https://atlancey.com/assets/css/style.min.css	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/css/style.min.css	(from https://atlancey.com/)
00:08:02	93636/93636	---M--	200	added ('OK')	application/javascript	etag:%22204dfe8-16dc4-53e48b4b6ce80%22	https://atlancey.com/assets/js/jquery.min.js	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/js/jquery.min.js	(from https://atlancey.com/)
00:08:03	10188/10188	---M--	200	added ('OK')	application/javascript	etag:%22204dfe5-27cc-53e394e950400%22	https://atlancey.com/assets/js/flipsnap.min.js	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/js/flipsnap.min.js	(from https://atlancey.com/)
00:08:04	112691/112691	---M--	200	added ('OK')	application/javascript	etag:%22204dfeb-1b833-53e39505ec780%22	https://atlancey.com/assets/js/tweenmax.min.js	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/js/tweenmax.min.js	(from https://atlancey.com/)
00:08:05	237108/237108	---M--	200	added ('OK')	application/javascript	etag:%22204dfe7-39e34-53e48b5aaf280%22	https://atlancey.com/assets/js/jquery-ui.min.js	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/js/jquery-ui.min.js	(from https://atlancey.com/)
00:08:06	11843/11843	---M--	200	added ('OK')	application/javascript	etag:%22204dfea-2e43-53e395021be80%22	https://atlancey.com/assets/js/timeline.min.js	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/js/timeline.min.js	(from https://atlancey.com/)
00:08:06	26692/26692	---M--	200	added ('OK')	application/javascript	etag:%22204dfe6-6844-53e38a9d5b900%22	https://atlancey.com/assets/js/fullpage.min.js	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/js/fullpage.min.js	(from https://atlancey.com/)
00:08:08	13704/13704	---M--	200	added ('OK')	application/javascript	etag:%22204dfe9-3588-5a176c6f96800%22	https://atlancey.com/assets/js/main.min.js	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/js/main.min.js	(from https://atlancey.com/)
00:08:08	1449/1449	---M--	200	added ('OK')	image/svg+xml	etag:%22204dfd9-5a9-59dc78b7f9400%22	https://atlancey.com/assets/img/assorted/close.svg	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/img/assorted/close.svg	(from https://atlancey.com/)
00:08:09	5052/5052	---M--	200	added ('OK')	image/svg+xml	etag:%22204dfdb-13bc-5a1623a633380%22	https://atlancey.com/assets/img/Atlancey%20logo.svg	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/img/Atlancey%20logo.svg	(from https://atlancey.com/)
00:08:10	1169/1169	---M--	200	added ('OK')	image/svg+xml	etag:%22204dfda-491-59dc78b7f9400%22	https://atlancey.com/assets/img/assorted/mouse.svg	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/img/assorted/mouse.svg	(from https://atlancey.com/)
00:08:10	1270/1270	---M--	200	added ('OK')	image/svg+xml	etag:%22204dfde-4f6-59dc78b7f9400%22	https://atlancey.com/assets/img/sections/hello.svg	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/img/sections/hello.svg	(from https://atlancey.com/)
00:08:11	1566/1566	---M--	200	added ('OK')	image/svg+xml	etag:%22204dfdc-61e-59dc78b7f9400%22	https://atlancey.com/assets/img/sections/about.svg	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/img/sections/about.svg	(from https://atlancey.com/)
00:08:12	2444/2444	---M--	200	added ('OK')	image/svg+xml	etag:%22204dfe1-98c-59dc78b7f9400%22	https://atlancey.com/assets/img/sections/what_we_do.svg	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/img/sections/what_we_do.svg	(from https://atlancey.com/)
00:08:12	5277/5277	---M--	200	added ('OK')	image/svg+xml	etag:%22204dfe0-149d-5a1763d681f00%22	https://atlancey.com/assets/img/sections/past_projects.svg	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/img/sections/past_projects.svg	(from https://atlancey.com/)
00:08:13	3322/3322	---M--	200	added ('OK')	image/svg+xml	etag:%22204dfdf-cfa-59dc78b7f9400%22	https://atlancey.com/assets/img/sections/meet_the_team.svg	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/img/sections/meet_the_team.svg	(from https://atlancey.com/)
00:08:15	216041/216041	---M--	200	added ('OK')	image/png	etag:%22204dfe3-34be9-5a1608ee72a80%22	https://atlancey.com/assets/img/team/aman.png	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/img/team/aman.png	(from https://atlancey.com/)
00:08:17	233552/233552	---M--	200	added ('OK')	image/png	etag:%22204dfe2-39050-5a1608ca35500%22	https://atlancey.com/assets/img/team/aayush.png	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/img/team/aayush.png	(from https://atlancey.com/)
00:08:18	209668/209668	---M--	200	added ('OK')	image/png	etag:%22204dfe4-33304-5a16093505100%22	https://atlancey.com/assets/img/team/kaustubh.png	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/img/team/kaustubh.png	(from https://atlancey.com/)
00:08:18	2892/2892	---M--	200	added ('OK')	image/svg+xml	etag:%22204dfdd-b4c-59dc78b7f9400%22	https://atlancey.com/assets/img/sections/get_in_touch.svg	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/img/sections/get_in_touch.svg	(from https://atlancey.com/)
00:08:19	27990/27990	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220493ab-6d56-53e38b2a80600%22	https://atlancey.com/assets/css/fonts/HelveticaLTStd-Blk.eot	C:/My%20Web%20Sites/atlancy/atlancey.com/assets/css/fonts/HelveticaLTStd-Blk.eot	(from https://atlancey.com/assets/css/style.min.css)
